user_id,user_name,flagged,mean_proba,all,ratio,rank_flagged,rank_ratio,rank_proba,mean_rank,flagged_cum
22794594,fares zrena,1,0.64952433,1,1,56,1,337,131.33333333333334,1692
22864227,Aureliu Popovici,2,0.68717766,9,0.2222222222222222,55,88,251,131.33333333333334,1701
22839314,bkbiz,1,0.68284047,4,0.25,56,79,260,131.66666666666666,1705
22707470,1hugo,1,0.64909494,1,1,56,1,338,131.66666666666666,1706
22721691,J4kee,4,0.6519755,5,0.8,53,14,329,132,1711
22831043,Rohit15,1,0.6647586,2,0.5,56,37,304,132.33333333333334,1713
18774533,jwdevine21,1,0.64838994,1,1,56,1,340,132.33333333333334,1714
22844407,Arzu Tagiyeva,5,0.6939354,28,0.17857142857142858,52,108,238,132.66666666666666,1742
22884998,Sabaaalwazani,1,0.6479715,1,1,56,1,341,132.66666666666666,1743
22843825,marsavgust,1,0.6462407,1,1,56,1,346,134.33333333333334,1744
21958756,Btunnell091,2,0.64611995,2,1,55,1,347,134.33333333333334,1746
22843810,nerfdart,1,0.7313393,17,0.058823529411764705,56,190,159,135,1763
22850533,Hamzaaskar,5,0.64275324,5,1,52,1,354,135.66666666666666,1768
22840113,feistyfox,1,0.6433866,1,1,56,1,352,136.33333333333334,1769
22861944,rvnhm,7,0.6447292,8,0.875,50,9,350,136.33333333333334,1777
20387370,WargRUS123,1,0.69027054,6,0.16666666666666666,56,111,243,136.66666666666666,1783
22862313,Maksym N,1,0.6426297,1,1,56,1,355,137.33333333333334,1784
5813359,Agraciada,1,0.6423599,1,1,56,1,357,138,1785
22780826,Cleice,1,0.65435964,2,0.5,56,37,321,138,1787
22858944,WalrusMapper,1,0.6766393,4,0.25,56,79,279,138,1791
22868231,marcelionis,7,0.6630655,20,0.35,50,59,306,138.33333333333334,1811
22812111,Диана Дюкина,1,0.6414316,1,1,56,1,359,138.66666666666666,1812
22853943,slhnrn,1,0.7089727,10,0.1,56,148,212,138.66666666666666,1822
15571969,Marcello Design Gráfico,1,0.6827801,5,0.2,56,99,261,138.66666666666666,1827
18815838,AlexanderTurin,1,0.65363705,2,0.5,56,37,324,139,1829
22849223,LouisSchaechterle,3,0.6406122,3,1,54,1,362,139,1832
22825424,cyclomethene,3,0.6692222,10,0.3,54,66,297,139,1842
22826864,Khaleel Ali,1,0.640739,1,1,56,1,361,139.33333333333334,1843
22865962,bleuvoss,2,0.6657587,6,0.3333333333333333,55,61,302,139.33333333333334,1849
22886811,rdimitris,1,0.6535065,2,0.5,56,37,325,139.33333333333334,1851
135681,JMBarbier,1,0.6397001,1,1,56,1,363,140,1852
22864176,ArianaGorencu,1,0.6513041,2,0.5,56,37,330,141,1854
21697456,Khorshed Alam Raiyan,5,0.68095744,27,0.18518518518518517,52,106,265,141,1881
22863843,STEPHANY VOLPE,1,0.63793063,1,1,56,1,367,141.33333333333334,1882
7644442,Mohammed1979,1,0.6374291,1,1,56,1,368,141.66666666666666,1883
22859091,Blank_77,1,0.63722736,1,1,56,1,369,142,1884
8638536,galu,5,0.6350049,5,1,52,1,374,142.33333333333334,1889
21603608,Saintry17,1,0.67733794,5,0.2,56,99,276,143.66666666666666,1894
20649049,sarahsarah000,1,0.63352346,1,1,56,1,378,145,1895
22864478,Jordi_at,4,0.66359836,16,0.25,53,79,305,145.66666666666666,1911
22874978,Reolson26,1,0.63237756,1,1,56,1,381,146,1912
22643541,Плакидин захар,2,0.68381095,15,0.13333333333333333,55,128,256,146.33333333333334,1927
22860347,pincopallino16,2,0.6501287,5,0.4,55,50,334,146.33333333333334,1932
22831245,GloRY_K,1,0.6319759,1,1,56,1,383,146.66666666666666,1933
22062502,RyErickson264,2,0.6453027,4,0.5,55,37,349,147,1937
22766701,PIW SieradzWieruszów,7,0.62900895,7,1,50,1,390,147,1944
22803120,TCD Rawalpindi,1,0.63160855,1,1,56,1,385,147.33333333333334,1945
22690862,dougalatico,1,0.6626991,4,0.25,56,79,308,147.66666666666666,1949
22562751,zaynne,1,0.6312856,1,1,56,1,386,147.66666666666666,1950
